Payer Organization,Parent Organization,Payer Type,Plan Type,State(s),Payer ID,Payer ID Alias,Website,Developer Portal,Provider Portal,Claim Status Electronic,Claim Status Standard,Claim Status API,Claim Status Direct Payer API,Claim Status Clearinghouse API,Claim Status FHIR,Claim Status Portal,Claim Status Voice Fallback,Claim Status Real-Time,Claim Status Batch,Eligibility Electronic,Eligibility Standard,Eligibility API,Eligibility Direct Payer API,Eligibility Clearinghouse API,Eligibility FHIR,Eligibility Portal,Eligibility Real-Time,Eligibility Batch,Benefits Available,Benefits via 271,Benefits via API,Deductible,Deductible Remaining,Copay,Coinsurance,OOP Maximum,OOP Remaining,Service-Specific Benefits,Network Benefits,Allowed Amount Available,Accumulator Data,Patient Responsibility Data,Patient Responsibility Calculation Required,Estimation API,Estimation Confidence,Prior Auth Electronic,Prior Auth X12 278,Prior Auth FHIR,Prior Auth API,Prior Auth Requirements API,Prior Auth Submission,Prior Auth Status,Prior Auth Approval,Prior Auth Denial Reason,Prior Auth Additional Info,Prior Auth Portal,Prior Auth Voice/Manual,Denial Data Available,ERA 835,CARC,RARC,277CA,Claim-Level Denial,Service-Level Denial,Denial API,Denial Portal,Appeal API,Electronic Appeal,Portal Appeal,Document Upload,Fax,Mail,Human Process,Appeal Status API,Appeal Tracking,Public API,Free API,Free Sandbox,Production API,Production Pricing,Usage Fee,Setup Fee,Enrollment Required,Provider Credential Required,Clearinghouse Required,API Authentication,OAuth,SMART on FHIR,API Documentation,FHIR Available,FHIR Version,Patient Access API,Provider Access API,Payer-to-Payer API,Prior Authorization API,Provider Directory API,FHIR Documentation,FHIR Sandbox,Portal Required,Voice Required,Human Fallback,Recommended Channel,Digital Coverage Score,Automation Readiness Score,Source URL 1,Source URL 2,Source URL 3,Source Type,Source Date,Last Verified Date,Confidence,Research Notes
Blue Cross NC,Blue Cross Blue Shield of NC,BCBS,Commercial; MA; Exchange,NC,Varies,Varies by clearinghouse,https://www.bluecrossnc.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Horizon BCBS NJ,Horizon Healthcare Services,BCBS,Commercial; MA; Medicaid; Exchange,NJ,Varies,Varies by clearinghouse,https://www.horizonblue.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
BCBS of Tennessee,BCBST (mutual),BCBS,Commercial; MA; Exchange,TN,Varies,Varies by clearinghouse,https://www.bcbst.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Excellus BCBS,Lifetime Healthcare,BCBS,Commercial; MA; Exchange,NY (upstate),Varies,Varies by clearinghouse,https://www.excellusbcbs.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
UnitedHealthcare Community Plan,UnitedHealth Group,MCO,Medicaid; CHIP; D-SNP,Multi-state,Varies,Varies by clearinghouse,https://www.uhccommunityplan.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Aetna Better Health,CVS Health,MCO,Medicaid; CHIP; D-SNP,Multi-state,Varies,Varies by clearinghouse,https://www.aetnabetterhealth.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Amerigroup / Wellpoint,Elevance Health,MCO,Medicaid; CHIP; MA,Multi-state,Varies,Varies by clearinghouse,https://www.wellpoint.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
AmeriHealth Caritas,AmeriHealth Caritas,MCO,Medicaid; CHIP; D-SNP,Multi-state,Varies,Varies by clearinghouse,https://www.amerihealthcaritas.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
CareSource,CareSource,MCO,Medicaid; Exchange; MA,OH; IN; GA; KY; WV; others,Varies,Varies by clearinghouse,https://www.caresource.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Superior HealthPlan,Centene Corporation,MCO,Medicaid; CHIP; Exchange,TX,Varies,Varies by clearinghouse,https://www.superiorhealthplan.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Oscar Health,Oscar Health Inc.,QHP,Exchange; MA; small group,Multi-state,Varies,Varies by clearinghouse,https://www.hioscar.com,https://www.hioscar.com/cms_patient_access_developer_page,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4 (Da Vinci PDex STU2),YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://www.hioscar.com/cms_patient_access_developer_page,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.hioscar.com/cms_patient_access_developer_page,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
UMR,UnitedHealth Group,TPA,Self-funded administration,National,39026,Varies by clearinghouse,https://www.umr.com,UNKNOWN,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,UNKNOWN,PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,UNKNOWN,Via clearinghouse,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → Portal → Voice → Human,78,83 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.stedi.com/docs/healthcare,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,Commercial/self-funded: RCM transactions via clearinghouse; not subject to CMS-0057-F provider APIs.
Meritain Health,CVS Health (Aetna),TPA,Self-funded administration,National,64157,Varies by clearinghouse,https://www.meritain.com,UNKNOWN,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,UNKNOWN,PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,UNKNOWN,Via clearinghouse,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → Portal → Voice → Human,78,83 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.stedi.com/docs/healthcare,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,Commercial/self-funded: RCM transactions via clearinghouse; not subject to CMS-0057-F provider APIs.
